Column,Type,Info_1,Info_2,Info_3,Value,Count,Percentage (%)
9_SN/MP,Continuous,Mean: 33.3150,Std: 4.6641,Min: 19.5693 / Max: 49.2865,,,
9_Facial axis,Continuous,Mean: 88.4285,Std: 3.5597,Min: 75.4719 / Max: 99.6775,,,
9_Y-axis,Continuous,Mean: 66.6372,Std: 3.1346,Min: 55.2645 / Max: 75.1156,,,
9_Mn Base angle,Continuous,Mean: 1.9463,Std: 1.4072,Min: -1.8558 / Max: 6.2002,,,
9_Mn Ramus Angle,Continuous,Mean: 122.5685,Std: 5.5811,Min: 106.2739 / Max: 137.6168,,,
9_SNPog,Continuous,Mean: 77.2903,Std: 3.1405,Min: 68.0944 / Max: 86.8622,,,
9_SNB,Continuous,Mean: 76.3393,Std: 3.0465,Min: 67.7700 / Max: 84.7871,,,
9_SNA,Continuous,Mean: 80.7182,Std: 3.4049,Min: 72.7074 / Max: 93.1499,,,
9_SN/PP,Continuous,Mean: 7.2043,Std: 3.2037,Min: -3.3716 / Max: 18.7507,,,
9_ANB,Continuous,Mean: -4.3789,Std: 2.0583,Min: -9.7260 / Max: 0.9455,,,
9_AFH:PFH,Continuous,Mean: 1.4660,Std: 0.0770,Min: 1.2303 / Max: 1.7039,,,
9_PgNB,Continuous,Mean: 0.9507,Std: 0.7119,Min: -1.1312 / Max: 3.5597,,,
9_beta angle,Continuous,Mean: 20.1037,Std: 2.4029,Min: 12.6719 / Max: 30.4140,,,
12_SN/MP,Continuous,Mean: 32.3363,Std: 4.7237,Min: 19.7088 / Max: 45.9609,,,
12_Facial axis,Continuous,Mean: 88.2326,Std: 3.6619,Min: 75.8271 / Max: 99.7729,,,
12_Y-axis,Continuous,Mean: 66.5360,Std: 3.1751,Min: 56.5299 / Max: 74.7172,,,
12_Mn Base angle,Continuous,Mean: 2.5700,Std: 1.3978,Min: -1.5924 / Max: 6.9876,,,
12_Mn Ramus Angle,Continuous,Mean: 121.2457,Std: 5.5661,Min: 104.7900 / Max: 139.1670,,,
12_SNPog,Continuous,Mean: 78.4508,Std: 3.1310,Min: 70.4816 / Max: 88.8684,,,
12_SNB,Continuous,Mean: 77.2908,Std: 3.0896,Min: 70.1879 / Max: 86.9823,,,
12_SNA,Continuous,Mean: 81.2121,Std: 3.4522,Min: 72.0996 / Max: 92.4293,,,
12_SN/PP,Continuous,Mean: 7.1658,Std: 3.1038,Min: -1.2929 / Max: 15.0532,,,
12_ANB,Continuous,Mean: -3.9213,Std: 2.1584,Min: -10.2931 / Max: 2.5793,,,
12_AFH:PFH,Continuous,Mean: 1.4463,Std: 0.0754,Min: 1.2445 / Max: 1.6504,,,
12_PgNB,Continuous,Mean: 1.1601,Std: 0.7274,Min: -1.0689 / Max: 3.1761,,,
12_beta angle,Continuous,Mean: 20.8015,Std: 2.3849,Min: 13.0569 / Max: 29.6557,,,
growth direction,,,,,1.0,246.0,55.16
growth direction,,,,,0.0,184.0,41.26
growth direction,,,,,2.0,16.0,3.59
