Column,Value,Count,Percentage (%)
MSSubClass,20.0,536,36.71
MSSubClass,60.0,299,20.48
MSSubClass,50.0,144,9.86
MSSubClass,120.0,87,5.96
MSSubClass,30.0,69,4.73
MSSubClass,160.0,63,4.32
MSSubClass,70.0,60,4.11
MSSubClass,80.0,58,3.97
MSSubClass,90.0,52,3.56
MSSubClass,190.0,30,2.05
MSSubClass,85.0,20,1.37
MSSubClass,75.0,16,1.1
MSSubClass,45.0,12,0.82
MSSubClass,180.0,10,0.68
MSSubClass,40.0,4,0.27
LotFrontage,0.0,259,17.74
LotFrontage,60.0,143,9.79
LotFrontage,70.0,70,4.79
LotFrontage,80.0,69,4.73
LotFrontage,50.0,57,3.9
LotArea,7200.0,25,1.71
LotArea,9600.0,24,1.64
LotArea,6000.0,17,1.16
LotArea,10800.0,14,0.96
LotArea,9000.0,14,0.96
OverallQual,5.0,397,27.19
OverallQual,6.0,374,25.62
OverallQual,7.0,319,21.85
OverallQual,8.0,168,11.51
OverallQual,4.0,116,7.95
OverallQual,9.0,43,2.95
OverallQual,3.0,20,1.37
OverallQual,10.0,18,1.23
OverallQual,2.0,3,0.21
OverallQual,1.0,2,0.14
OverallCond,5.0,821,56.23
OverallCond,6.0,252,17.26
OverallCond,7.0,205,14.04
OverallCond,8.0,72,4.93
OverallCond,4.0,57,3.9
OverallCond,3.0,25,1.71
OverallCond,9.0,22,1.51
OverallCond,2.0,5,0.34
OverallCond,1.0,1,0.07
YearBuilt,2006.0,67,4.59
YearBuilt,2005.0,64,4.38
YearBuilt,2004.0,54,3.7
YearBuilt,2007.0,49,3.36
YearBuilt,2003.0,45,3.08
YearRemodAdd,1950.0,178,12.19
YearRemodAdd,2006.0,97,6.64
YearRemodAdd,2007.0,76,5.21
YearRemodAdd,2005.0,73,5.0
YearRemodAdd,2004.0,62,4.25
MasVnrArea,0.0,869,59.52
MasVnrArea,180.0,8,0.55
MasVnrArea,108.0,8,0.55
MasVnrArea,72.0,8,0.55
MasVnrArea,120.0,7,0.48
ExterQual,3.0,906,62.05
ExterQual,4.0,488,33.42
ExterQual,5.0,52,3.56
ExterQual,2.0,14,0.96
ExterCond,3.0,1282,87.81
ExterCond,4.0,146,10.0
ExterCond,2.0,28,1.92
ExterCond,5.0,3,0.21
ExterCond,1.0,1,0.07
BsmtQual,3.0,649,44.45
BsmtQual,4.0,618,42.33
BsmtQual,5.0,121,8.29
BsmtQual,0.0,37,2.53
BsmtQual,2.0,35,2.4
BsmtCond,3.0,1311,89.79
BsmtCond,4.0,65,4.45
BsmtCond,2.0,45,3.08
BsmtCond,0.0,37,2.53
BsmtCond,1.0,2,0.14
BsmtFinSF1,0.0,467,31.99
BsmtFinSF1,24.0,12,0.82
BsmtFinSF1,16.0,9,0.62
BsmtFinSF1,662.0,5,0.34
BsmtFinSF1,616.0,5,0.34
BsmtFinSF2,0.0,1293,88.56
BsmtFinSF2,180.0,5,0.34
BsmtFinSF2,374.0,3,0.21
BsmtFinSF2,93.0,2,0.14
BsmtFinSF2,712.0,2,0.14
BsmtUnfSF,0.0,118,8.08
BsmtUnfSF,728.0,9,0.62
BsmtUnfSF,384.0,8,0.55
BsmtUnfSF,572.0,7,0.48
BsmtUnfSF,600.0,7,0.48
TotalBsmtSF,0.0,37,2.53
TotalBsmtSF,864.0,35,2.4
TotalBsmtSF,672.0,17,1.16
TotalBsmtSF,912.0,15,1.03
TotalBsmtSF,1040.0,14,0.96
HeatingQC,5.0,741,50.75
HeatingQC,3.0,428,29.32
HeatingQC,4.0,241,16.51
HeatingQC,2.0,49,3.36
HeatingQC,1.0,1,0.07
1stFlrSF,864.0,25,1.71
1stFlrSF,1040.0,16,1.1
1stFlrSF,912.0,14,0.96
1stFlrSF,848.0,12,0.82
1stFlrSF,894.0,12,0.82
2ndFlrSF,0.0,829,56.78
2ndFlrSF,728.0,10,0.68
2ndFlrSF,504.0,9,0.62
2ndFlrSF,672.0,8,0.55
2ndFlrSF,546.0,8,0.55
LowQualFinSF,0.0,1434,98.22
LowQualFinSF,80.0,3,0.21
LowQualFinSF,360.0,2,0.14
LowQualFinSF,513.0,1,0.07
LowQualFinSF,234.0,1,0.07
GrLivArea,864.0,22,1.51
GrLivArea,1040.0,14,0.96
GrLivArea,894.0,11,0.75
GrLivArea,1456.0,10,0.68
GrLivArea,848.0,10,0.68
BsmtFullBath,0.0,856,58.63
BsmtFullBath,1.0,588,40.27
BsmtFullBath,2.0,15,1.03
BsmtFullBath,3.0,1,0.07
BsmtHalfBath,0.0,1378,94.38
BsmtHalfBath,1.0,80,5.48
BsmtHalfBath,2.0,2,0.14
FullBath,2.0,768,52.6
FullBath,1.0,650,44.52
FullBath,3.0,33,2.26
FullBath,0.0,9,0.62
HalfBath,0.0,913,62.53
HalfBath,1.0,535,36.64
HalfBath,2.0,12,0.82
BedroomAbvGr,3.0,804,55.07
BedroomAbvGr,2.0,358,24.52
BedroomAbvGr,4.0,213,14.59
BedroomAbvGr,1.0,50,3.42
BedroomAbvGr,5.0,21,1.44
BedroomAbvGr,6.0,7,0.48
BedroomAbvGr,0.0,6,0.41
BedroomAbvGr,8.0,1,0.07
KitchenAbvGr,1.0,1392,95.34
KitchenAbvGr,2.0,65,4.45
KitchenAbvGr,3.0,2,0.14
KitchenAbvGr,0.0,1,0.07
KitchenQual,3.0,735,50.34
KitchenQual,4.0,586,40.14
KitchenQual,5.0,100,6.85
KitchenQual,2.0,39,2.67
TotRmsAbvGrd,6.0,402,27.53
TotRmsAbvGrd,7.0,329,22.53
TotRmsAbvGrd,5.0,275,18.84
TotRmsAbvGrd,8.0,187,12.81
TotRmsAbvGrd,4.0,97,6.64
TotRmsAbvGrd,9.0,75,5.14
TotRmsAbvGrd,10.0,47,3.22
TotRmsAbvGrd,11.0,18,1.23
TotRmsAbvGrd,3.0,17,1.16
TotRmsAbvGrd,12.0,11,0.75
TotRmsAbvGrd,2.0,1,0.07
TotRmsAbvGrd,14.0,1,0.07
Fireplaces,0.0,690,47.26
Fireplaces,1.0,650,44.52
Fireplaces,2.0,115,7.88
Fireplaces,3.0,5,0.34
FireplaceQu,0.0,690,47.26
FireplaceQu,4.0,380,26.03
FireplaceQu,3.0,313,21.44
FireplaceQu,2.0,33,2.26
FireplaceQu,5.0,24,1.64
FireplaceQu,1.0,20,1.37
GarageYrBlt,0.0,81,5.55
GarageYrBlt,2005.0,65,4.45
GarageYrBlt,2006.0,59,4.04
GarageYrBlt,2004.0,53,3.63
GarageYrBlt,2003.0,50,3.42
GarageCars,2.0,824,56.44
GarageCars,1.0,369,25.27
GarageCars,3.0,181,12.4
GarageCars,0.0,81,5.55
GarageCars,4.0,5,0.34
GarageArea,0.0,81,5.55
GarageArea,440.0,49,3.36
