Column,Value,Count,Percentage (%)
Id,1,1,0.07
Id,2,1,0.07
Id,3,1,0.07
Id,4,1,0.07
Id,5,1,0.07
MSSubClass,20,536,36.71
MSSubClass,60,299,20.48
MSSubClass,50,144,9.86
MSSubClass,120,87,5.96
MSSubClass,30,69,4.73
MSSubClass,160,63,4.32
MSSubClass,70,60,4.11
MSSubClass,80,58,3.97
MSSubClass,90,52,3.56
MSSubClass,190,30,2.05
MSSubClass,85,20,1.37
MSSubClass,75,16,1.1
MSSubClass,45,12,0.82
MSSubClass,180,10,0.68
MSSubClass,40,4,0.27
MSZoning,RL,1151,78.84
MSZoning,RM,218,14.93
MSZoning,FV,65,4.45
MSZoning,RH,16,1.1
MSZoning,'C (all)',10,0.68
LotFrontage,?,259,17.74
LotFrontage,60.0,143,9.79
LotFrontage,70.0,70,4.79
LotFrontage,80.0,69,4.73
LotFrontage,50.0,57,3.9
LotArea,7200,25,1.71
LotArea,9600,24,1.64
LotArea,6000,17,1.16
LotArea,10800,14,0.96
LotArea,9000,14,0.96
Street,Pave,1454,99.59
Street,Grvl,6,0.41
Alley,?,1369,93.77
Alley,Grvl,50,3.42
Alley,Pave,41,2.81
LotShape,Reg,925,63.36
LotShape,IR1,484,33.15
LotShape,IR2,41,2.81
LotShape,IR3,10,0.68
LandContour,Lvl,1311,89.79
LandContour,Bnk,63,4.32
LandContour,HLS,50,3.42
LandContour,Low,36,2.47
Utilities,AllPub,1459,99.93
Utilities,NoSeWa,1,0.07
LotConfig,Inside,1052,72.05
LotConfig,Corner,263,18.01
LotConfig,CulDSac,94,6.44
LotConfig,FR2,47,3.22
LotConfig,FR3,4,0.27
LandSlope,Gtl,1382,94.66
LandSlope,Mod,65,4.45
LandSlope,Sev,13,0.89
Neighborhood,NAmes,225,15.41
Neighborhood,CollgCr,150,10.27
Neighborhood,OldTown,113,7.74
Neighborhood,Edwards,100,6.85
Neighborhood,Somerst,86,5.89
Condition1,Norm,1260,86.3
Condition1,Feedr,81,5.55
Condition1,Artery,48,3.29
Condition1,RRAn,26,1.78
Condition1,PosN,19,1.3
Condition1,RRAe,11,0.75
Condition1,PosA,8,0.55
Condition1,RRNn,5,0.34
Condition1,RRNe,2,0.14
Condition2,Norm,1445,98.97
Condition2,Feedr,6,0.41
Condition2,Artery,2,0.14
Condition2,RRNn,2,0.14
Condition2,PosN,2,0.14
Condition2,PosA,1,0.07
Condition2,RRAn,1,0.07
Condition2,RRAe,1,0.07
BldgType,1Fam,1220,83.56
BldgType,TwnhsE,114,7.81
BldgType,Duplex,52,3.56
BldgType,Twnhs,43,2.95
BldgType,2fmCon,31,2.12
HouseStyle,1Story,726,49.73
HouseStyle,2Story,445,30.48
HouseStyle,1.5Fin,154,10.55
HouseStyle,SLvl,65,4.45
HouseStyle,SFoyer,37,2.53
HouseStyle,1.5Unf,14,0.96
HouseStyle,2.5Unf,11,0.75
HouseStyle,2.5Fin,8,0.55
OverallQual,5,397,27.19
OverallQual,6,374,25.62
OverallQual,7,319,21.85
OverallQual,8,168,11.51
OverallQual,4,116,7.95
OverallQual,9,43,2.95
OverallQual,3,20,1.37
OverallQual,10,18,1.23
OverallQual,2,3,0.21
